antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_size,consequent_size,consequent_item,count,antecedent_count,antecedents_str,hashtags_clean,reliability,target_score,count_score,lift_score,reliability_score,strength_score,recommendation_score,antecedent_len,recommendation_text
"frozenset({'hashtag=vanilla', 'hashtag=dessert'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,2,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla}","dessert, vanilla",directional,1.0,0.4,1.0,0.6,3.3043478260869565,0.79,2,"Use/test: dessert, vanilla. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=3.30x, reliability=directional."
"frozenset({'hashtag=vanilla', 'hashtag=vanilla_cake'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,2,1,performance=high_view_rate,4,4,"{hashtag=vanilla, hashtag=vanilla_cake}","vanilla, vanilla_cake",directional,1.0,0.4,1.0,0.6,3.3043478260869565,0.79,2,"Use/test: vanilla, vanilla_cake. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=3.30x, reliability=directional."
"frozenset({'hashtag=vanilla', 'hashtag=vanilla_cake', 'hashtag=dessert'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,3,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla, hashtag=vanilla_cake}","dessert, vanilla, vanilla_cake",directional,1.0,0.4,1.0,0.6,3.3043478260869565,0.79,3,"Use/test: dessert, vanilla, vanilla_cake. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=3.30x, reliability=directional."
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla', 'hashtag=dessert'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,3,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla, hashtag=vanilla_today_and_everyday}","dessert, vanilla, vanilla_today_and_everyday",directional,1.0,0.4,1.0,0.6,3.3043478260869565,0.79,3,"Use/test: dessert, vanilla, vanilla_today_and_everyday. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=3.30x, reliability=directional."
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla', 'hashtag=vanilla_cake'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,3,1,performance=high_view_rate,4,4,"{hashtag=vanilla, hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}","vanilla, vanilla_cake, vanilla_today_and_everyday",directional,1.0,0.4,1.0,0.6,3.3043478260869565,0.79,3,"Use/test: vanilla, vanilla_cake, vanilla_today_and_everyday. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=3.30x, reliability=directional."
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.06578947368421052,0.3026315789473684,0.05263157894736842,0.8,2.6434782608695655,0.032721606648199446,3.486842105263159,0.665492957746479,2,1,performance=high_view_rate,4,5,"{hashtag=vanilla, hashtag=vanilla_today_and_everyday}","vanilla, vanilla_today_and_everyday",directional,1.0,0.4,0.8217391304347827,0.6,2.1147826086956525,0.6943478260869564,2,"Use/test: vanilla, vanilla_today_and_everyday. It appeared in 5 posts; 4 were high_view_rate. Confidence=80%, lift=2.64x, reliability=directional."
frozenset({'hashtag=coffee'}),frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,1,1,performance=avg_view_rate,5,8,{hashtag=coffee},coffee,directional,0.55,0.5,1.0,0.6,2.1205357142857144,0.6575,1,"Use/test: coffee. It appeared in 8 posts; 5 were avg_view_rate. Confidence=62%, lift=3.39x, reliability=directional."
frozenset({'hashtag=قهوة'}),frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,1,1,performance=avg_view_rate,5,8,{hashtag=قهوة},قهوة,directional,0.55,0.5,1.0,0.6,2.1205357142857144,0.6575,1,"Use/test: قهوة. It appeared in 8 posts; 5 were avg_view_rate. Confidence=62%, lift=3.39x, reliability=directional."
"frozenset({'hashtag=today_and_everyday', 'hashtag=coffee'})",frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,2,1,performance=avg_view_rate,5,8,"{hashtag=coffee, hashtag=today_and_everyday}","coffee, today_and_everyday",directional,0.55,0.5,1.0,0.6,2.1205357142857144,0.6575,2,"Use/test: coffee, today_and_everyday. It appeared in 8 posts; 5 were avg_view_rate. Confidence=62%, lift=3.39x, reliability=directional."
"frozenset({'hashtag=قهوة', 'hashtag=coffee'})",frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,2,1,performance=avg_view_rate,5,8,"{hashtag=coffee, hashtag=قهوة}","coffee, قهوة",directional,0.55,0.5,1.0,0.6,2.1205357142857144,0.6575,2,"Use/test: coffee, قهوة. It appeared in 8 posts; 5 were avg_view_rate. Confidence=62%, lift=3.39x, reliability=directional."
"frozenset({'hashtag=قهوة', 'hashtag=today_and_everyday'})",frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,2,1,performance=avg_view_rate,5,8,"{hashtag=today_and_everyday, hashtag=قهوة}","today_and_everyday, قهوة",directional,0.55,0.5,1.0,0.6,2.1205357142857144,0.6575,2,"Use/test: today_and_everyday, قهوة. It appeared in 8 posts; 5 were avg_view_rate. Confidence=62%, lift=3.39x, reliability=directional."
"frozenset({'hashtag=قهوة', 'hashtag=today_and_everyday', 'hashtag=coffee'})",frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,3,1,performance=avg_view_rate,5,8,"{hashtag=coffee, hashtag=today_and_everyday, hashtag=قهوة}","coffee, today_and_everyday, قهوة",directional,0.55,0.5,1.0,0.6,2.1205357142857144,0.6575,3,"Use/test: coffee, today_and_everyday, قهوة. It appeared in 8 posts; 5 were avg_view_rate. Confidence=62%, lift=3.39x, reliability=directional."
"frozenset({'hashtag=cake', 'hashtag=coffee'})",frozenset({'performance=avg_view_rate'}),0.05263157894736842,0.18421052631578946,0.039473684210526314,0.75,4.071428571428572,0.029778393351800554,3.263157894736842,0.7962962962962964,2,1,performance=avg_view_rate,3,4,"{hashtag=cake, hashtag=coffee}","cake, coffee",directional,0.55,0.3,1.0,0.6,3.053571428571429,0.645,2,"Use/test: cake, coffee. It appeared in 4 posts; 3 were avg_view_rate. Confidence=75%, lift=4.07x, reliability=directional."
"frozenset({'hashtag=قهوة', 'hashtag=cake'})",frozenset({'performance=avg_view_rate'}),0.05263157894736842,0.18421052631578946,0.039473684210526314,0.75,4.071428571428572,0.029778393351800554,3.263157894736842,0.7962962962962964,2,1,performance=avg_view_rate,3,4,"{hashtag=cake, hashtag=قهوة}","cake, قهوة",directional,0.55,0.3,1.0,0.6,3.053571428571429,0.645,2,"Use/test: cake, قهوة. It appeared in 4 posts; 3 were avg_view_rate. Confidence=75%, lift=4.07x, reliability=directional."
"frozenset({'hashtag=today_and_everyday', 'hashtag=cake', 'hashtag=coffee'})",frozenset({'performance=avg_view_rate'}),0.05263157894736842,0.18421052631578946,0.039473684210526314,0.75,4.071428571428572,0.029778393351800554,3.263157894736842,0.7962962962962964,3,1,performance=avg_view_rate,3,4,"{hashtag=cake, hashtag=coffee, hashtag=today_and_everyday}","cake, coffee, today_and_everyday",directional,0.55,0.3,1.0,0.6,3.053571428571429,0.645,3,"Use/test: cake, coffee, today_and_everyday. It appeared in 4 posts; 3 were avg_view_rate. Confidence=75%, lift=4.07x, reliability=directional."
