antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_size,consequent_size,consequent_item,count,antecedent_count,antecedents_str,hashtags_clean,reliability,target_score,count_score,lift_score,reliability_score,strength_score,recommendation_score,antecedent_len,recommendation_text,category_col,category_value,action,source,hashtag,high_rate,avg_rate,low_rate,high_lift_like,low_lift_like,fallback_score,recommendation_type
frozenset({'hashtag=morning'}),frozenset({'performance=avg_view_rate'}),0.08333333333333333,0.4166666666666667,0.08333333333333333,1.0,2.4,0.048611111111111105,inf,0.6363636363636364,1.0,1.0,performance=avg_view_rate,2,2.0,{hashtag=morning},morning,directional,0.55,0.25,0.7,0.6,2.4,0.6475,1.0,"Use/test: morning. It appeared in 2 posts; 2 were avg_view_rate. Confidence=100%, lift=2.40x, reliability=directional.",sector,Cafe,use,association_rule_category,,,,,,,,
frozenset({'hashtag=الصباح'}),frozenset({'performance=avg_view_rate'}),0.08333333333333333,0.4166666666666667,0.08333333333333333,1.0,2.4,0.048611111111111105,inf,0.6363636363636364,1.0,1.0,performance=avg_view_rate,2,2.0,{hashtag=الصباح},الصباح,directional,0.55,0.25,0.7,0.6,2.4,0.6475,1.0,"Use/test: الصباح. It appeared in 2 posts; 2 were avg_view_rate. Confidence=100%, lift=2.40x, reliability=directional.",sector,Cafe,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=coffee', 'hashtag=morning'})",frozenset({'performance=avg_view_rate'}),0.08333333333333333,0.4166666666666667,0.08333333333333333,1.0,2.4,0.048611111111111105,inf,0.6363636363636364,2.0,1.0,performance=avg_view_rate,2,2.0,"{hashtag=coffee, hashtag=morning}","coffee, morning",directional,0.55,0.25,0.7,0.6,2.4,0.6475,2.0,"Use/test: coffee, morning. It appeared in 2 posts; 2 were avg_view_rate. Confidence=100%, lift=2.40x, reliability=directional.",sector,Cafe,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=الصباح', 'hashtag=coffee'})",frozenset({'performance=avg_view_rate'}),0.08333333333333333,0.4166666666666667,0.08333333333333333,1.0,2.4,0.048611111111111105,inf,0.6363636363636364,2.0,1.0,performance=avg_view_rate,2,2.0,"{hashtag=coffee, hashtag=الصباح}","coffee, الصباح",directional,0.55,0.25,0.7,0.6,2.4,0.6475,2.0,"Use/test: coffee, الصباح. It appeared in 2 posts; 2 were avg_view_rate. Confidence=100%, lift=2.40x, reliability=directional.",sector,Cafe,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=فانيلا', 'hashtag=coffee'})",frozenset({'performance=avg_view_rate'}),0.08333333333333333,0.4166666666666667,0.08333333333333333,1.0,2.4,0.048611111111111105,inf,0.6363636363636364,2.0,1.0,performance=avg_view_rate,2,2.0,"{hashtag=coffee, hashtag=فانيلا}","coffee, فانيلا",directional,0.55,0.25,0.7,0.6,2.4,0.6475,2.0,"Use/test: coffee, فانيلا. It appeared in 2 posts; 2 were avg_view_rate. Confidence=100%, lift=2.40x, reliability=directional.",sector,Cafe,use,association_rule_category,,,,,,,,
frozenset({'hashtag=desserts'}),frozenset({'performance=low_view_rate'}),0.16666666666666666,0.5416666666666666,0.16666666666666666,1.0,1.8461538461538463,0.0763888888888889,inf,0.55,1.0,1.0,performance=low_view_rate,4,4.0,{hashtag=desserts},desserts,directional,-1.0,0.5,0.42307692307692313,0.6,1.8461538461538463,0.4996153846153846,,"Avoid or test carefully: desserts. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.85x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafe,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=today_and_everyday', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.16666666666666666,0.5416666666666666,0.16666666666666666,1.0,1.8461538461538463,0.0763888888888889,inf,0.55,2.0,1.0,performance=low_view_rate,4,4.0,"{hashtag=desserts, hashtag=today_and_everyday}","desserts, today_and_everyday",directional,-1.0,0.5,0.42307692307692313,0.6,1.8461538461538463,0.4996153846153846,,"Avoid or test carefully: desserts, today_and_everyday. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.85x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafe,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=كيك', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.16666666666666666,0.5416666666666666,0.16666666666666666,1.0,1.8461538461538463,0.0763888888888889,inf,0.55,2.0,1.0,performance=low_view_rate,4,4.0,"{hashtag=desserts, hashtag=كيك}","desserts, كيك",directional,-1.0,0.5,0.42307692307692313,0.6,1.8461538461538463,0.4996153846153846,,"Avoid or test carefully: desserts, كيك. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.85x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafe,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=today_and_everyday', 'hashtag=كيك', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.16666666666666666,0.5416666666666666,0.16666666666666666,1.0,1.8461538461538463,0.0763888888888889,inf,0.55,3.0,1.0,performance=low_view_rate,4,4.0,"{hashtag=desserts, hashtag=today_and_everyday, hashtag=كيك}","desserts, today_and_everyday, كيك",directional,-1.0,0.5,0.42307692307692313,0.6,1.8461538461538463,0.4996153846153846,,"Avoid or test carefully: desserts, today_and_everyday, كيك. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.85x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafe,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=desserts', 'hashtag=cake'})",frozenset({'performance=low_view_rate'}),0.125,0.5416666666666666,0.125,1.0,1.8461538461538463,0.05729166666666667,inf,0.5238095238095238,2.0,1.0,performance=low_view_rate,3,3.0,"{hashtag=cake, hashtag=desserts}","cake, desserts",directional,-1.0,0.375,0.42307692307692313,0.6,1.8461538461538463,0.4683653846153847,,"Avoid or test carefully: cake, desserts. It appeared in 3 posts; 3 were low_view_rate. Confidence=100%, lift=1.85x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafe,avoid,association_rule_category,,,,,,,,
frozenset({'hashtag=vanilla_cake'}),frozenset({'performance=low_view_rate'}),0.10714285714285714,0.8214285714285714,0.10714285714285714,1.0,1.2173913043478262,0.019132653061224497,inf,0.2000000000000001,1.0,1.0,performance=low_view_rate,3,3.0,{hashtag=vanilla_cake},vanilla_cake,directional,-1.0,0.375,0.10869565217391308,0.6,1.2173913043478262,0.40548913043478263,,"Avoid or test carefully: vanilla_cake. It appeared in 3 posts; 3 were low_view_rate. Confidence=100%, lift=1.22x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafes/Restaurants,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=vanilla_cake', 'hashtag=vanilla_today_and_everyday'})",frozenset({'performance=low_view_rate'}),0.10714285714285714,0.8214285714285714,0.10714285714285714,1.0,1.2173913043478262,0.019132653061224497,inf,0.2000000000000001,2.0,1.0,performance=low_view_rate,3,3.0,"{hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}","vanilla_cake, vanilla_today_and_everyday",directional,-1.0,0.375,0.10869565217391308,0.6,1.2173913043478262,0.40548913043478263,,"Avoid or test carefully: vanilla_cake, vanilla_today_and_everyday. It appeared in 3 posts; 3 were low_view_rate. Confidence=100%, lift=1.22x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafes/Restaurants,avoid,association_rule_category,,,,,,,,
frozenset({'hashtag=dessert'}),frozenset({'performance=low_view_rate'}),0.07142857142857142,0.8214285714285714,0.07142857142857142,1.0,1.2173913043478262,0.012755102040816327,inf,0.1923076923076923,1.0,1.0,performance=low_view_rate,2,2.0,{hashtag=dessert},dessert,directional,-1.0,0.25,0.10869565217391308,0.6,1.2173913043478262,0.37423913043478263,,"Avoid or test carefully: dessert. It appeared in 2 posts; 2 were low_view_rate. Confidence=100%, lift=1.22x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafes/Restaurants,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=dessert', 'hashtag=vanilla_cake'})",frozenset({'performance=low_view_rate'}),0.07142857142857142,0.8214285714285714,0.07142857142857142,1.0,1.2173913043478262,0.012755102040816327,inf,0.1923076923076923,2.0,1.0,performance=low_view_rate,2,2.0,"{hashtag=dessert, hashtag=vanilla_cake}","dessert, vanilla_cake",directional,-1.0,0.25,0.10869565217391308,0.6,1.2173913043478262,0.37423913043478263,,"Avoid or test carefully: dessert, vanilla_cake. It appeared in 2 posts; 2 were low_view_rate. Confidence=100%, lift=1.22x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafes/Restaurants,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=dessert', 'hashtag=vanilla_today_and_everyday'})",frozenset({'performance=low_view_rate'}),0.07142857142857142,0.8214285714285714,0.07142857142857142,1.0,1.2173913043478262,0.012755102040816327,inf,0.1923076923076923,2.0,1.0,performance=low_view_rate,2,2.0,"{hashtag=dessert, hashtag=vanilla_today_and_everyday}","dessert, vanilla_today_and_everyday",directional,-1.0,0.25,0.10869565217391308,0.6,1.2173913043478262,0.37423913043478263,,"Avoid or test carefully: dessert, vanilla_today_and_everyday. It appeared in 2 posts; 2 were low_view_rate. Confidence=100%, lift=1.22x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafes/Restaurants,avoid,association_rule_category,,,,,,,,
,,,,,,,,,,,,,2,,,,fallback_experimental,,,,,,,,"Avoid/test carefully: #ramadankareem based on fallback hashtag-level stats. Count=2, high_rate=50%, low_rate=50%, reliability=fallback_experimental.",sector,Cafes/Restaurants,avoid,fallback_hashtag_level_category,ramadankareem,0.5,0.0,0.5,2.2083333333333335,0.9137931034482759,0.4110767353230132,avoid
,,,,,,,,,,,,,21,,,,fallback_directional,,,,,,,,"Avoid/test carefully: #فانيلا_اليوم_وكل_يوم based on fallback hashtag-level stats. Count=21, high_rate=10%, low_rate=76%, reliability=fallback_directional.",sector,Cafes/Restaurants,avoid,fallback_hashtag_level_category,فانيلا_اليوم_وكل_يوم,0.09523809523809523,0.14285714285714285,0.7619047619047619,0.4206349206349206,1.392446633825944,0.2447089947089947,avoid
,,,,,,,,,,,,,9,,,,fallback_directional,,,,,,,,"Avoid/test carefully: #vanilla_today_and_everyday based on fallback hashtag-level stats. Count=9, high_rate=0%, low_rate=89%, reliability=fallback_directional.",sector,Cafes/Restaurants,avoid,fallback_hashtag_level_category,vanilla_today_and_everyday,0.0,0.1111111111111111,0.8888888888888888,0.0,1.6245210727969348,0.09734157605444786,avoid
,,,,,,,,,,,,,3,,,,fallback_experimental,,,,,,,,"Avoid/test carefully: #vanilla_cake based on fallback hashtag-level stats. Count=3, high_rate=0%, low_rate=100%, reliability=fallback_experimental.",sector,Cafes/Restaurants,avoid,fallback_hashtag_level_category,vanilla_cake,0.0,0.0,1.0,0.0,1.8275862068965518,0.0121219121087877,avoid
,,,,,,,,,,,,,2,,,,fallback_experimental,,,,,,,,"Avoid/test carefully: #dessert based on fallback hashtag-level stats. Count=2, high_rate=0%, low_rate=100%, reliability=fallback_experimental.",sector,Cafes/Restaurants,avoid,fallback_hashtag_level_category,dessert,0.0,0.0,1.0,0.0,1.8275862068965518,-0.011145486899209064,avoid
frozenset({'hashtag=vanilla'}),frozenset({'performance=high_view_rate'}),0.3333333333333333,0.8333333333333334,0.3333333333333333,1.0,1.2,0.055555555555555525,inf,0.24999999999999983,1.0,1.0,performance=high_view_rate,8,8.0,{hashtag=vanilla},vanilla,strong,1.0,1.0,0.09999999999999998,1.0,1.2,0.8200000000000001,1.0,"Use/test: vanilla. It appeared in 8 posts; 8 were high_view_rate. Confidence=100%, lift=1.20x, reliability=strong.",sector,influancers,use,association_rule_category,,,,,,,,
frozenset({'hashtag=dessert'}),frozenset({'performance=high_view_rate'}),0.16666666666666666,0.8333333333333334,0.16666666666666666,1.0,1.2,0.027777777777777762,inf,0.19999999999999987,1.0,1.0,performance=high_view_rate,4,4.0,{hashtag=dessert},dessert,directional,1.0,0.5,0.09999999999999998,0.6,1.2,0.635,1.0,"Use/test: dessert. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=1.20x, reliability=directional.",sector,influancers,use,association_rule_category,,,,,,,,
frozenset({'hashtag=vanilla_cake'}),frozenset({'performance=high_view_rate'}),0.16666666666666666,0.8333333333333334,0.16666666666666666,1.0,1.2,0.027777777777777762,inf,0.19999999999999987,1.0,1.0,performance=high_view_rate,4,4.0,{hashtag=vanilla_cake},vanilla_cake,directional,1.0,0.5,0.09999999999999998,0.6,1.2,0.635,1.0,"Use/test: vanilla_cake. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=1.20x, reliability=directional.",sector,influancers,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=dessert', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.16666666666666666,0.8333333333333334,0.16666666666666666,1.0,1.2,0.027777777777777762,inf,0.19999999999999987,2.0,1.0,performance=high_view_rate,4,4.0,"{hashtag=dessert, hashtag=vanilla}","dessert, vanilla",directional,1.0,0.5,0.09999999999999998,0.6,1.2,0.635,2.0,"Use/test: dessert, vanilla. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=1.20x, reliability=directional.",sector,influancers,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=dessert', 'hashtag=vanilla_cake'})",frozenset({'performance=high_view_rate'}),0.16666666666666666,0.8333333333333334,0.16666666666666666,1.0,1.2,0.027777777777777762,inf,0.19999999999999987,2.0,1.0,performance=high_view_rate,4,4.0,"{hashtag=dessert, hashtag=vanilla_cake}","dessert, vanilla_cake",directional,1.0,0.5,0.09999999999999998,0.6,1.2,0.635,2.0,"Use/test: dessert, vanilla_cake. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=1.20x, reliability=directional.",sector,influancers,use,association_rule_category,,,,,,,,
frozenset({'hashtag=ramadan2025'}),frozenset({'performance=low_view_rate'}),0.16666666666666666,0.125,0.08333333333333333,0.5,4.0,0.0625,1.75,0.8999999999999999,1.0,1.0,performance=low_view_rate,2,4.0,{hashtag=ramadan2025},ramadan2025,directional,-1.0,0.25,1.0,0.6,2.0,0.40249999999999997,,"Avoid or test carefully: ramadan2025. It appeared in 4 posts; 2 were low_view_rate. Confidence=50%, lift=4.00x, reliability=directional. This is a risk signal, not proof of causality.",sector,influancers,avoid,association_rule_category,,,,,,,,
frozenset({'hashtag=ramadankareem'}),frozenset({'performance=low_view_rate'}),0.16666666666666666,0.125,0.08333333333333333,0.5,4.0,0.0625,1.75,0.8999999999999999,1.0,1.0,performance=low_view_rate,2,4.0,{hashtag=ramadankareem},ramadankareem,directional,-1.0,0.25,1.0,0.6,2.0,0.40249999999999997,,"Avoid or test carefully: ramadankareem. It appeared in 4 posts; 2 were low_view_rate. Confidence=50%, lift=4.00x, reliability=directional. This is a risk signal, not proof of causality.",sector,influancers,avoid,association_rule_category,,,,,,,,
