business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,cta_present,hashtags,engagement,engagement_rate,like_rate,comment_rate,view_rate,view_engagement_rate,total_engagement,engagement_rate_followers,likes_rate_followers,comments_rate_followers,views_per_follower,like_view_rate,comment_view_rate,week,is_video,is_reel,posting_time_bin,caption_length_bin,hashtags_count_bin,emoji_count_bin,engagement_level,business_size_bin,high_engagement,high_view_rate,high_comment_rate,hashtag_count,view_rate_ratio,performance_label
Vanilla Palestine,Cafe,139000.0,2025-02-05 00:00:00,0.0,Wednesday,2,reel,شاركونا إجابتكم بالتعليقات 👇 #فانيلا_اليوم_وكل_يوم #vanilla_today_and_everyday,83,2,1,106.0,7.0,15200.0,Arabic,True,False,0.0,False,False,False,True,False,True,"['فانيلا_اليوم_وكل_يوم', 'vanilla_today_and_everyday']",113.0,0.0008129496402877698,0.0007625899,5.03597e-05,0.1093525179856115,0.0074342105,113.0,0.0008129496,0.0007625899,5.03597e-05,0.109352518,0.0069736842,0.0004605263,2025-02-03/2025-02-09,0,1,night,medium,few,few,low,medium,0,0,0,2,0.10201342281879194,low_view_rate
Vanilla Palestine,Cafe,139000.0,2025-02-04 00:00:00,0.0,Tuesday,2,reel,What’s your favorite cake ❤️🍰? #VANILLA_Today_and_everyday,65,1,2,71.0,0.0,11000.0,English,True,False,0.0,False,False,False,False,False,True,['vanilla_today_and_everyday'],71.0,0.0005107913669064748,0.0005107914,0.0,0.07913669064748201,0.0064545455,71.0,0.0005107914,0.0005107914,0.0,0.0791366906,0.0064545455,0.0,2025-02-03/2025-02-09,0,1,night,medium,few,few,low,medium,0,0,0,1,0.07382550335570469,low_view_rate
Vanilla Palestine,Cafe,139000.0,2025-02-01 00:00:00,0.0,Saturday,2,reel,كل يوم له بداية… وأجمل بداية بطاقة إيجابية #فانيلا_اليوم_وكل_يوم,72,1,0,153.0,1.0,12500.0,Arabic,False,False,0.0,False,False,False,True,False,False,['فانيلا_اليوم_وكل_يوم'],154.0,0.0011079136690647481,0.0011007194,7.1942e-06,0.08992805755395683,0.01232,154.0,0.0011079137,0.0011007194,7.1942e-06,0.0899280576,0.01224,8e-05,2025-01-27/2025-02-02,0,1,night,medium,few,none,low,medium,0,0,0,1,0.08389261744966442,low_view_rate
Vanilla Palestine,Cafe,139000.0,2025-01-24 00:00:00,0.0,Friday,1,reel,ومن أهم فوائدها إنها تذهب الحزن.. التلبينة النبوية.. صحية، فوائدها كثيرة ولذيذة هي طبق تقليدي قديم ذكرها الرسول محمد صلى الله عليه وسلم في أحاديث لها فيها من فوائد وشفاء #فانيلا_اليوم_وكل_يوم #vanilla_today_and_everyday,239,2,0,1313.0,0.0,214000.0,Arabic,False,False,0.0,False,True,False,True,False,False,"['فانيلا_اليوم_وكل_يوم', 'vanilla_today_and_everyday']",1313.0,0.009446043165467625,0.0094460432,0.0,1.539568345323741,0.006135514,1313.0,0.0094460432,0.0094460432,0.0,1.5395683453,0.006135514,0.0,2025-01-20/2025-01-26,0,1,night,long,few,none,high,medium,1,0,0,2,1.436241610738255,avg_view_rate
Vanilla Palestine,Cafe,139000.0,2023-10-03 00:00:00,0.0,Tuesday,10,reel,استمر بالأكل أنت بأمان 😜🤤 #فانيلا_اليوم_وكل_يوم #طعام #وزن #أكل #كيك VANILLA #Today_and_Everyday #Food #Eating #Cake #Desserts,142,10,2,963.0,5.0,78200.0,Mixed,False,False,0.0,False,False,False,True,False,False,"['فانيلا_اليوم_وكل_يوم', 'طعام', 'وزن', 'أكل', 'كيك', 'today_and_everyday', 'food', 'eating', 'cake', 'desserts']",968.0,0.006964028776978417,0.0069280576,3.59712e-05,0.5625899280575539,0.0123785166,968.0,0.0069640288,0.0069280576,3.59712e-05,0.5625899281,0.012314578,6.39386e-05,2023-10-02/2023-10-08,0,1,night,long,many,few,medium,medium,0,0,0,10,0.5248322147651007,low_view_rate
Vanilla Palestine,Cafe,139000.0,2023-10-01 00:00:00,0.0,Sunday,10,reel,شرب القهوة بالليل يؤذي المعدة؟ 🤔 #فانيلا_اليوم_وكل_يوم #قهوة #الليل VANILLA #Today_and_Everyday #Coffee #Night,123,6,1,442.0,2.0,37600.0,Mixed,False,False,0.0,False,False,False,True,False,False,"['فانيلا_اليوم_وكل_يوم', 'قهوة', 'الليل', 'today_and_everyday', 'coffee', 'night']",444.0,0.0031942446043165466,0.0031798561,1.43885e-05,0.27050359712230215,0.0118085106,444.0,0.0031942446,0.0031798561,1.43885e-05,0.2705035971,0.0117553191,5.31915e-05,2023-09-25/2023-10-01,0,1,night,medium,many,few,low,medium,0,0,0,6,0.2523489932885906,low_view_rate
Vanilla Palestine,Cafe,139000.0,2023-09-23 00:00:00,0.0,Saturday,9,reel,عرفتوا ايش هو الريجيم الصحيح؟ 🤔 #ريجيم #طعام #حلويات #فانيلا_اليوم_وكل_يوم #كيك #قهوة Diet #Food #Desserts #VANILLA #Today_and_Everyday #Cake #Coffee,177,12,1,557.0,5.0,103000.0,Mixed,True,False,0.0,False,False,False,True,False,True,"['ريجيم', 'طعام', 'حلويات', 'فانيلا_اليوم_وكل_يوم', 'كيك', 'قهوة', 'food', 'desserts', 'vanilla', 'today_and_everyday', 'cake', 'coffee']",562.0,0.004043165467625899,0.0040071942,3.59712e-05,0.7410071942446043,0.0054563107,562.0,0.0040431655,0.0040071942,3.59712e-05,0.7410071942,0.005407767,4.85437e-05,2023-09-18/2023-09-24,0,1,night,long,many,few,medium,medium,0,0,0,12,0.6912751677852349,low_view_rate
Vanilla Palestine,Cafe,139000.0,2023-09-20 00:00:00,0.0,Wednesday,9,reel,تنفسنا أم لِجين ستبقى حينين 💕 PS💕,35,0,2,327.0,1.0,13100.0,Arabic,False,False,0.0,False,False,False,True,False,False,[],328.0,0.0023597122302158272,0.002352518,7.1942e-06,0.09424460431654676,0.0250381679,328.0,0.0023597122,0.002352518,7.1942e-06,0.0942446043,0.0249618321,7.63359e-05,2023-09-18/2023-09-24,0,1,night,short,none,few,low,medium,0,0,0,0,0.08791946308724832,low_view_rate
Vanilla Palestine,Cafe,139000.0,2023-09-19 00:00:00,0.0,Tuesday,9,reel,مين فيكم تركيزه هيك الصبح؟ 😂 #فانيلا_اليوم_وكل_يوم #قهوة #الصباح VANILLA #Today_and_Everyday #Coffee #Morning,124,6,1,467.0,9.0,139000.0,Mixed,True,False,0.0,False,False,False,True,False,True,"['فانيلا_اليوم_وكل_يوم', 'قهوة', 'الصباح', 'today_and_everyday', 'coffee', 'morning']",476.0,0.0034244604316546762,0.0033597122,6.47482e-05,1.0,0.0034244604,476.0,0.0034244604,0.0033597122,6.47482e-05,1.0,0.0033597122,6.47482e-05,2023-09-18/2023-09-24,0,1,night,medium,many,few,low,medium,0,0,0,6,0.9328859060402684,avg_view_rate
Vanilla Palestine,Cafe,139000.0,2023-09-18 00:00:00,0.0,Monday,9,reel,طول بالك! 😂🤭 لما تتعب بالزينة بالاخر يغير رأيه الزبون ويصير بده اياها برا! #فانيلا_اليوم_وكل_يوم #كيك #زينة #قهوة #طول_بالك VANILLA #Today_and_Everyday #Cake #Coffee,201,8,2,885.0,3.0,146000.0,Mixed,False,False,0.0,False,False,False,True,False,False,"['فانيلا_اليوم_وكل_يوم', 'كيك', 'زينة', 'قهوة', 'طول_بالك', 'today_and_everyday', 'cake', 'coffee']",888.0,0.006388489208633093,0.0063669065,2.15827e-05,1.0503597122302157,0.0060821918,888.0,0.0063884892,0.0063669065,2.15827e-05,1.0503597122,0.0060616438,2.05479e-05,2023-09-18/2023-09-24,0,1,night,long,many,few,medium,medium,0,0,0,8,0.9798657718120805,avg_view_rate
Vanilla Palestine,Cafe,139000.0,2023-09-17 00:00:00,0.0,Sunday,9,reel,NEW! 🥳 Mix Berries Cake 🥳 The cake you always dreamed about is now available at all VANILLA Branches 😋😋 #Mixberries #Cake #New #VANILLA #Today_and_Everyday #CakeAndCoffee #كيك #مكس_بيريز #جديد #فانيلا_اليوم_وكل_يوم,260,10,6,1063.0,0.0,106000.0,Mixed,True,True,0.0,True,False,False,True,False,True,"['mixberries', 'cake', 'new', 'vanilla', 'today_and_everyday', 'cakeandcoffee', 'كيك', 'مكس_بيريز', 'جديد', 'فانيلا_اليوم_وكل_يوم']",1063.0,0.007647482014388489,0.007647482,0.0,0.762589928057554,0.0100283019,1063.0,0.007647482,0.007647482,0.0,0.7625899281,0.0100283019,0.0,2023-09-11/2023-09-17,0,1,night,long,many,many,medium,medium,0,0,0,10,0.7114093959731544,low_view_rate
Vanilla Palestine,Cafe,139000.0,2023-09-13 00:00:00,0.0,Wednesday,9,reel,جربتوا الطرطقة؟ 🤭🤔 VANILLA® Cake & Coffee . chocolatetriffle #VANILLA #today_and_everyday #Cake #Coffee #فانيلا #كيك #شوكولاتة #قهوة #اليوم_وكل_يوم #Chocolate #triffle,210,11,2,1721.0,23.0,140000.0,Mixed,True,False,0.0,False,False,False,True,False,True,"['vanilla', 'today_and_everyday', 'cake', 'coffee', 'فانيلا', 'كيك', 'شوكولاتة', 'قهوة', 'اليوم_وكل_يوم', 'chocolate', 'triffle']",1744.0,0.012546762589928057,0.012381295,0.0001654676,1.0071942446043165,0.0124571429,1744.0,0.0125467626,0.012381295,0.0001654676,1.0071942446,0.0122928571,0.0001642857,2023-09-11/2023-09-17,0,1,night,long,many,few,high,medium,1,0,0,11,0.9395973154362416,avg_view_rate
Vanilla Palestine,Cafe,139000.0,2023-09-12 00:00:00,0.0,Tuesday,9,reel,قاعدين على قلوبكم ❤️🥳 #فانيلا_اليوم_وكل_يوم #كيك #قهوة #وينجز #مشاريب VANILLA #Today_and_Everyday #wings #coffee #cake #drinks,156,10,2,1080.0,7.0,143000.0,Mixed,False,False,0.0,False,False,False,True,False,False,"['فانيلا_اليوم_وكل_يوم', 'كيك', 'قهوة', 'وينجز', 'مشاريب', 'today_and_everyday', 'wings', 'coffee', 'cake', 'drinks']",1087.0,0.007820143884892087,0.0077697842,5.03597e-05,1.0287769784172662,0.0076013986,1087.0,0.0078201439,0.0077697842,5.03597e-05,1.0287769784,0.0075524476,4.8951e-05,2023-09-11/2023-09-17,0,1,night,long,many,few,medium,medium,0,0,0,10,0.9597315436241611,avg_view_rate
Vanilla Palestine,Cafe,139000.0,2023-09-10 00:00:00,0.0,Sunday,9,reel,"Taste Like Home CN, Noodles that will make you crave for more Want some? Get some. ❤️ . بفرع الطيرة فقط، وقرّباً نابلس #Today_and_Everyday #noodles #نودلز #اليوم_وكل_يوم",203,4,1,221.0,5.0,33800.0,Mixed,True,True,0.0,True,False,False,True,False,True,"['today_and_everyday', 'noodles', 'نودلز', 'اليوم_وكل_يوم']",226.0,0.0016258992805755397,0.0015899281,3.59712e-05,0.24316546762589927,0.0066863905,226.0,0.0016258993,0.0015899281,3.59712e-05,0.2431654676,0.0065384615,0.000147929,2023-09-04/2023-09-10,0,1,night,long,few,few,low,medium,0,0,0,4,0.22684563758389262,low_view_rate
Vanilla Palestine,Cafe,139000.0,2023-09-09 00:00:00,0.0,Saturday,9,reel,Rainbow Cake 😋😋 #rainbowcake #Today_and_Everyday #VANILLA #فانيلا #اليوم_وكل_يوم #رينبوكيك,111,6,2,275.0,4.0,110000.0,Mixed,False,False,0.0,False,False,False,True,False,False,"['rainbowcake', 'today_and_everyday', 'vanilla', 'فانيلا', 'اليوم_وكل_يوم', 'رينبوكيك']",279.0,0.0020071942446043167,0.0019784173,2.8777e-05,0.7913669064748201,0.0025363636,279.0,0.0020071942,0.0019784173,2.8777e-05,0.7913669065,0.0025,3.63636e-05,2023-09-04/2023-09-10,0,1,night,medium,many,few,low,medium,0,0,0,6,0.7382550335570469,low_view_rate
Vanilla Palestine,Cafe,139000.0,2023-09-08 00:00:00,0.0,Friday,9,reel,There is no better way to bring people together than with Coffee and Cake! 😋 . #today_and_everyday #desserts #coffee #كيك #اليوم_وكل_يوم #قهوة,169,6,1,129.0,0.0,105000.0,Mixed,False,False,0.0,False,False,False,False,False,False,"['today_and_everyday', 'desserts', 'coffee', 'كيك', 'اليوم_وكل_يوم', 'قهوة']",129.0,0.0009280575539568345,0.0009280576,0.0,0.7553956834532374,0.0012285714,129.0,0.0009280576,0.0009280576,0.0,0.7553956835,0.0012285714,0.0,2023-09-04/2023-09-10,0,1,night,long,many,few,low,medium,0,0,0,6,0.7046979865771812,low_view_rate
Vanilla Palestine,Cafe,139000.0,2023-09-06 00:00:00,0.0,Wednesday,9,reel,Orchestrate your mornings to the tune of VANILLA® coffee.. . #today_and_everyday #الصباح #قهوة #فانيلا #اليوم_وكل_يوم #VANILLA #coffee #morning #trending,177,9,0,216.0,0.0,132000.0,Mixed,False,False,0.0,False,False,False,False,False,False,"['today_and_everyday', 'الصباح', 'قهوة', 'فانيلا', 'اليوم_وكل_يوم', 'vanilla', 'coffee', 'morning', 'trending']",216.0,0.0015539568345323742,0.0015539568,0.0,0.9496402877697842,0.0016363636,216.0,0.0015539568,0.0015539568,0.0,0.9496402878,0.0016363636,0.0,2023-09-04/2023-09-10,0,1,night,long,many,none,low,medium,0,0,0,9,0.8859060402684563,avg_view_rate
Vanilla Palestine,Cafe,139000.0,2023-08-24 00:00:00,0.0,Thursday,8,reel,⚠️ اكتشفوا شو الغلط الفادح! اللي صار بالفيديو واكتبوه بالتعليقات لندخل معاً محاولة للسحب مع وحبيبنا شاروما رول 🌯 ومشروب من المشاريب الصيفية الجديدة 🍹 🟢 السحب الصحيح الحاصل على أكبر عدد من اللايكات 🔴 ينتهي السحب في غضون ثلاثة أيام من تاريخ 28/8 😅 شو تستنوا احضروا الفيديو وشاركوه مع أصحابكم 🥳 ملاحظة الجائزة محصورة فقط لطلبة المدرسة، يلي يسي سي سي مي #فانيلا_اليوم_وكل_يوم #مسابقة VANILLA #Today_and_Everyday #competition,510,4,11,453.0,102.0,107000.0,Arabic,True,True,0.0,False,False,False,True,False,True,"['فانيلا_اليوم_وكل_يوم', 'مسابقة', 'today_and_everyday', 'competition']",555.0,0.003992805755395684,0.0032589928,0.0007338129,0.7697841726618705,0.0051869159,555.0,0.0039928058,0.0032589928,0.0007338129,0.7697841727,0.0042336449,0.000953271,2023-08-21/2023-08-27,0,1,night,long,few,many,low,medium,0,0,1,4,0.7181208053691275,low_view_rate
Vanilla Palestine,Cafe,139000.0,2023-08-22 00:00:00,0.0,Tuesday,8,reel,"I’m not a vegetarian, I’m a dessertarian! 🤤🍰 #vanilla #desserts #cake #today_and_everyday #فانيلا #كيك #اليوم_وكل_يوم #سعادة",154,8,2,373.0,0.0,112000.0,Mixed,False,False,0.0,False,False,False,False,False,False,"['vanilla', 'desserts', 'cake', 'today_and_everyday', 'فانيلا', 'كيك', 'اليوم_وكل_يوم', 'سعادة']",373.0,0.0026834532374100718,0.0026834532,0.0,0.8057553956834532,0.0033303571,373.0,0.0026834532,0.0026834532,0.0,0.8057553957,0.0033303571,0.0,2023-08-21/2023-08-27,0,1,night,long,many,few,low,medium,0,0,0,8,0.7516778523489933,low_view_rate
Vanilla Palestine,Cafe,139000.0,2023-08-21 00:00:00,0.0,Monday,8,reel,You can’t buy Happiness but you can buy Ice Cream 😋 . #vanilla #today_and_everyday #icecream #فانيلا #اليوم_وكل_يوم #ايسكريم,146,6,1,481.0,0.0,130000.0,Mixed,False,False,0.0,False,False,False,False,False,False,"['vanilla', 'today_and_everyday', 'icecream', 'فانيلا', 'اليوم_وكل_يوم', 'ايسكريم']",481.0,0.003460431654676259,0.0034604317,0.0,0.935251798561151,0.0037,481.0,0.0034604317,0.0034604317,0.0,0.9352517986,0.0037,0.0,2023-08-21/2023-08-27,0,1,night,long,many,few,low,medium,0,0,0,6,0.87248322147651,avg_view_rate
Vanilla Palestine,Cafe,139000.0,2023-08-20 00:00:00,0.0,Sunday,8,reel,😋 قطعها..غرفها..غمسها.. فوكاشا من فانيلا صنعت بحب 🥰 Focaccia #FreshlyBaked #yummy #Breakfast #VANILLA #VANILLA_Today_and_everyday #فانيلا #فانيلا_اليوم_وكل_يوم,197,8,2,157.0,1.0,108000.0,Mixed,False,True,0.0,False,False,False,True,False,False,"['freshlybaked', 'yummy', 'breakfast', 'vanilla', 'vanilla_today_and_everyday', 'فانيلا', 'فانيلا_اليوم_وكل_يوم']",158.0,0.0011366906474820143,0.0011294964,7.1942e-06,0.7769784172661871,0.001462963,158.0,0.0011366906,0.0011294964,7.1942e-06,0.7769784173,0.0014537037,9.2593e-06,2023-08-14/2023-08-20,0,1,night,long,many,few,low,medium,0,0,0,7,0.7248322147651007,low_view_rate
Vanilla Palestine,Cafe,139000.0,2023-08-16 00:00:00,0.0,Wednesday,8,reel,🍓🥛 مع حليب أو مع برتقال 🍊؟ شاركونا كيف بتفضلوها 😋🥰 الميلك بيريز ميلك شيك 🍓 Mixied Berries Milkshake #mixesberries #milkshake ★★★★★ VANILLA #VANILLA_Today_and_everyday #فانيلا #فانيلا_اليوم_وكل_يوم,248,6,6,475.0,22.0,308000.0,Mixed,True,True,0.0,False,False,False,True,False,True,"['mixesberries', 'milkshake', 'vanilla_today_and_everyday', 'فانيلا', 'فانيلا_اليوم_وكل_يوم']",497.0,0.003575539568345324,0.0034172662,0.0001582734,2.2158273381294964,0.0016136364,497.0,0.0035755396,0.0034172662,0.0001582734,2.2158273381,0.0015422078,7.14286e-05,2023-08-14/2023-08-20,0,1,night,long,many,many,low,medium,0,1,0,5,2.0671140939597317,high_view_rate
Vanilla Palestine,Cafe,139000.0,2023-08-13 00:00:00,0.0,Sunday,8,reel,SanSebastian Cheesecake 🤤😋 تنتقل الى عالم آخر بمجرد البدء بسكب الكراميل على سان سيباستيان تشيزكيك 🤤🤍 #سانسيباستيان #cheesecake #sansebastian #VANILLA #Today_and_Everyday #فانيلا_اليوم_وكل_يوم,236,6,5,561.0,13.0,136000.0,Mixed,False,True,0.0,False,False,False,True,False,False,"['سانسيباستيان', 'cheesecake', 'sansebastian', 'vanilla', 'today_and_everyday', 'فانيلا_اليوم_وكل_يوم']",574.0,0.004129496402877698,0.0040359712,9.35252e-05,0.9784172661870504,0.0042205882,574.0,0.0041294964,0.0040359712,9.35252e-05,0.9784172662,0.004125,9.55882e-05,2023-08-07/2023-08-13,0,1,night,long,many,many,medium,medium,0,0,0,6,0.912751677852349,avg_view_rate
Vanilla Palestine,Cafe,139000.0,2023-08-11 00:00:00,0.0,Friday,8,reel,No no no Wait wait wait🤭🤣 إذا كان عن تجربتكم مع فرنش توست فانيلا 😍😋 🍞⏳ بالخبز الفرنسي المصنوع في مخبز فانيلا #فانيلا_اليوم_وكل_يوم #frenchtoast #vanilla #bakery,194,4,7,665.0,30.0,137000.0,Mixed,False,True,0.0,False,False,False,True,False,False,"['فانيلا_اليوم_وكل_يوم', 'frenchtoast', 'vanilla', 'bakery']",695.0,0.005,0.0047841727,0.0002158273,0.9856115107913669,0.0050729927,695.0,0.005,0.0047841727,0.0002158273,0.9856115108,0.0048540146,0.0002189781,2023-08-07/2023-08-13,0,1,night,long,few,many,medium,medium,0,0,1,4,0.9194630872483222,avg_view_rate
Vanilla Palestine,influancers,87300.0,2025-05-08 00:00:00,0.0,Thursday,5,reel,The NEW Italiano Pudding Tiramisu 😊😊 فانيلا اليوم وكل يوم... #VANILLA_Today_and_everyday #vanilla #dessert #vanilla_cake,129,4,2,1502.0,1500.0,561000.0,Arabic-English,False,True,0.0,False,False,False,False,False,False,"['vanilla_today_and_everyday', 'vanilla', 'dessert', 'vanilla_cake']",3002.0,0.03438717067583047,0.0172050401,0.0171821306,6.426116838487973,0.0053511586,3002.0,0.0343871707,0.0172050401,0.0171821306,6.4261168385,0.0026773619,0.0026737968,2025-05-05/2025-05-11,0,1,night,medium,few,few,high,small,1,1,1,4,5.994833829193478,high_view_rate
